term,weight
denver,-1.0140431839596036
44,-1.0026813604321285
fresno,-0.9523515381573086
mesa,-0.9284428238815102
168,-0.9039169528153173
oklahoma,-0.875995751040669
oklahoma city,-0.875995751040669
161,-0.8740562034870397
debit denver,-0.8708878094686375
29,-0.8629345399325206
88,-0.8552954698123804
172,-0.8521708634769756
188,-0.8478409542900203
dallas,-0.8462177518853307
debit atlanta,-0.8420886572119478
milwaukee,-0.8377580076400093
chicago,-0.8213504592467062
27,-0.8129489750231785
nashville,-0.7953559427684478
debit fresno,-0.7768970674164788
